COMBINATION,SIZED GATE,COST AREA,ARRIVAL,POWER
"['X1', 'X1', 'X1', 'X1', 'X1', 'X1']",0,0.0,0.05046,1.85e-06
"['X1', 'X1', 'X1', 'X1', 'X1', 'X2']",1,0.532,0.04672,1.99e-06
"['X1', 'X1', 'X1', 'X1', 'X2', 'X1']",2,0.532,0.052525,2.12e-06
"['X1', 'X1', 'X1', 'X2', 'X1', 'X1']",3,0.532,0.05613,2.12e-06
"['X1', 'X1', 'X2', 'X1', 'X1', 'X1']",4,0.532,0.05386,2.29e-06
"['X1', 'X2', 'X1', 'X1', 'X1', 'X1']",5,0.532,0.05138,1.99e-06
"['X2', 'X1', 'X1', 'X1', 'X1', 'X1']",6,0.532,0.05386,2.27e-06
"['X2', 'X1', 'X1', 'X1', 'X1', 'X2']",6,0.532,0.05047,2.41e-06
"['X1', 'X2', 'X1', 'X1', 'X1', 'X2']",5,0.532,0.04797,2.13e-06
"['X1', 'X1', 'X2', 'X1', 'X1', 'X2']",4,0.532,0.05047,2.43e-06
"['X1', 'X1', 'X1', 'X2', 'X1', 'X2']",3,0.532,0.04928,2.26e-06
"['X1', 'X1', 'X1', 'X1', 'X2', 'X2']",2,0.532,0.045704999999999996,2.26e-06
"['X1', 'X1', 'X1', 'X1', 'X1', 'X4']",1,1.064,0.04667,2.24e-06
"['X2', 'X1', 'X1', 'X1', 'X2', 'X2']",6,0.532,0.046165,2.68e-06
"['X1', 'X2', 'X1', 'X1', 'X2', 'X2']",5,0.532,0.04667,2.4e-06
"['X1', 'X1', 'X2', 'X1', 'X2', 'X2']",4,0.532,0.048645,2.7e-06
"['X1', 'X1', 'X1', 'X2', 'X2', 'X2']",3,0.532,0.0475,2.53e-06
"['X1', 'X1', 'X1', 'X1', 'X4', 'X2']",2,1.064,0.04874,2.72e-06
"['X1', 'X1', 'X1', 'X1', 'X2', 'X4']",1,1.064,0.043715000000000004,2.51e-06
"['X2', 'X1', 'X1', 'X1', 'X2', 'X4']",6,0.532,0.044725,2.93e-06
"['X1', 'X2', 'X1', 'X1', 'X2', 'X4']",5,0.532,0.04483,2.65e-06
"['X1', 'X1', 'X2', 'X1', 'X2', 'X4']",4,0.532,0.046895000000000006,2.96e-06
"['X1', 'X1', 'X1', 'X2', 'X2', 'X4']",3,0.532,0.04445,2.79e-06
"['X1', 'X1', 'X1', 'X1', 'X4', 'X4']",2,1.064,0.04455,2.98e-06
