COMBINATION,CHOSEN,SIZED GATE,COST AREA,ARRIVAL,POWER
"['X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1']",1,0,0.0,0.5850471428571428,5.93e-05
"['X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X2']",0,1,0.26600000000000534,0.5850471428571428,5.94e-05
"['X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X2', 'X1']",0,2,0.5319999999999965,0.5850471428571428,5.95e-05
"['X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X2', 'X1', 'X1']",0,3,0.26600000000000534,0.5850471428571428,5.94e-05
"['X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X2', 'X1', 'X1', 'X1']",0,4,0.5319999999999965,0.5850471428571428,5.95e-05
"['X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X2', 'X1', 'X1', 'X1', 'X1']",0,5,0.26600000000000534,0.5850471428571428,5.94e-05
"['X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X2', 'X1', 'X1', 'X1', 'X1', 'X1']",0,6,0.5319999999999965,0.5850471428571428,5.95e-05
"['X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X2', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1']",0,7,0.26600000000000534,0.5850471428571428,5.94e-05
"['X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X2', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1']",0,8,0.5319999999999965,0.5867185714285715,5.95e-05
"['X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X2', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1']",0,9,1.0640000000000072,0.58454,6.01e-05
"['X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X2', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1']",0,10,0.26600000000000534,0.5850471428571428,5.94e-05
"['X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X2', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1']",0,11,0.5319999999999965,0.5850471428571428,5.95e-05
"['X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X2', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1', 'X1']",0,12,0.26600000000000534,0.5850471428571428,5.94e-05
