COMBINATION,ARRIVAL,POWER
"['X1', 'X1', 'X1']",0.08219,6.8e-07
"['X1', 'X1', 'X2']",0.0801,9.04e-07
"['X1', 'X1', 'X4']",0.08019,1.34e-06
"['X1', 'X2', 'X1']",0.08246,9.01e-07
"['X1', 'X2', 'X2']",0.07885,1.12e-06
"['X1', 'X2', 'X4']",0.0782,1.56e-06
"['X1', 'X4', 'X1']",0.0867,1.33e-06
"['X1', 'X4', 'X2']",0.08054,1.56e-06
"['X1', 'X4', 'X4']",0.07834,2e-06
"['X2', 'X1', 'X1']",0.08247,8.39e-07
"['X2', 'X1', 'X2']",0.08039,1.06e-06
"['X2', 'X1', 'X4']",0.08048,1.5e-06
"['X2', 'X2', 'X1']",0.08122,1.06e-06
"['X2', 'X2', 'X2']",0.07761,1.28e-06
"['X2', 'X2', 'X4']",0.07696,1.72e-06
"['X2', 'X4', 'X1']",0.08473,1.49e-06
"['X2', 'X4', 'X2']",0.07856,1.72e-06
"['X2', 'X4', 'X4']",0.07636,2.16e-06
"['X4', 'X1', 'X1']",0.08676,1.15e-06
"['X4', 'X1', 'X2']",0.08468,1.37e-06
"['X4', 'X1', 'X4']",0.08477,1.81e-06
"['X4', 'X2', 'X1']",0.08295,1.37e-06
"['X4', 'X2', 'X2']",0.07935,1.6e-06
"['X4', 'X2', 'X4']",0.0787,2.03e-06
"['X4', 'X4', 'X1']",0.08491,1.81e-06
"['X4', 'X4', 'X2']",0.07875,2.03e-06
"['X4', 'X4', 'X4']",0.07656,2.47e-06
