COMBINATION,CHOSEN,SIZED GATE,COST AREA,ARRIVAL,POWER
"['X1', 'X1', 'X1', 'X1']",1,0,0.0,0.10997,1.43e-06
"['X1', 'X1', 'X1', 'X2']",1,1,0.532,0.1077,1.57e-06
"['X1', 'X1', 'X2', 'X1']",0,2,0.266,0.11015,1.65e-06
"['X1', 'X2', 'X1', 'X1']",0,3,0.798,0.1138,2.05e-06
"['X2', 'X1', 'X1', 'X1']",0,4,0.266,0.11614,1.76e-06
"['X2', 'X1', 'X1', 'X2']",0,4,0.266,0.11387,1.9e-06
"['X1', 'X2', 'X1', 'X2']",0,3,0.798,0.11154,2.19e-06
"['X1', 'X1', 'X2', 'X2']",1,2,0.266,0.10528,1.78e-06
"['X1', 'X1', 'X1', 'X4']",0,1,1.064,0.1079,1.84e-06
"['X2', 'X1', 'X2', 'X2']",0,4,0.266,0.11141,2.12e-06
"['X1', 'X2', 'X2', 'X2']",0,3,0.798,0.10599,2.41e-06
"['X1', 'X1', 'X4', 'X2']",0,2,1.064,0.10813,2.21e-06
"['X1', 'X1', 'X2', 'X4']",1,1,1.064,0.10416,2.05e-06
"['X2', 'X1', 'X2', 'X4']",0,4,0.266,0.11029,2.39e-06
"['X1', 'X2', 'X2', 'X4']",0,3,0.798,0.10488,2.68e-06
"['X1', 'X1', 'X4', 'X4']",0,2,1.064,0.1043,2.48e-06
